unique_id,smape_baseline,smape_ensemble,gain,length_group,category
M17749,15.717307434596869,20.58168301955563,-4.864375584958761,cold_start,Micro
M1793,13.85481900498834,12.960315954594193,0.894503050394146,long_history,Macro
M18017,8.483394760343192,9.16374825563963,-0.6803534952964387,cold_start,Micro
M18155,10.339379345753624,10.548580410647308,-0.2092010648936835,cold_start,Micro
M18278,11.877717182196463,11.01268917147846,0.8650280107180031,cold_start,Micro
M1842,3.017181378531586,2.576713786115523,0.4404675924160628,long_history,Macro
M18681,9.562779457551136,11.355176371015997,-1.7923969134648612,cold_start,Micro
M18742,7.933331993578008,8.09620473081441,-0.16287273723640183,cold_start,Micro
M18959,7.1727000995764065,7.082919634200452,0.08978046537595485,cold_start,Micro
M18978,10.375567914716353,15.574834234802484,-5.1992663200861315,cold_start,Micro
M19219,10.708294536282956,12.010114105827727,-1.3018195695447705,cold_start,Micro
M19244,11.266504071050017,11.759901776493503,-0.4933977054434866,cold_start,Micro
M1926,1.1134290469824486,1.0395525564118295,0.07387649057061907,long_history,Macro
M1940,1.2805440493148528,1.3206957098361405,-0.04015166052128771,long_history,Macro
M19797,8.500932161056836,9.891216626990945,-1.3902844659341085,cold_start,Micro
M19963,5.068553329047076,7.397662498168501,-2.3291091691214243,cold_start,Micro
M20573,3.5337809904627435,3.3052384352151076,0.2285425552476359,cold_start,Micro
M21023,1.1430449246740557,1.140761572205829,0.0022833524682266404,short,Demographic
M21060,6.8761956670062405,6.577931904313054,0.29826376269318633,short,Demographic
M21134,3.9636790071836145,3.6292921089454007,0.3343868982382139,short,Demographic
M21283,36.38765532858436,35.68154555443308,0.7061097741512796,short,Demographic
M21323,24.52986939676859,24.65787839609275,-0.12800899932416243,short,Demographic
M21370,19.630580226664737,20.193987659474573,-0.5634074328098357,short,Demographic
M21456,2.228488887676038,2.246974677782271,-0.01848579010623297,cold_start,Demographic
M21457,2.311040961747363,1.800627254548217,0.5104137071991459,cold_start,Demographic
M21460,4.184102719824396,4.025503859319312,0.15859886050508365,cold_start,Demographic
M21530,6.1866387126971425,4.330220611505473,1.8564181011916698,long_history,Demographic
M21563,2.8655834799086306,2.428794376358644,0.43678910354998646,short,Demographic
M21579,10.10686796681972,10.040479159507157,0.06638880731256336,short,Demographic
M21778,2.5333109425216054,2.54680586291477,-0.013494920393164467,long_history,Demographic
M21806,0.977372012421166,0.7854199039926915,0.19195210842847454,long_history,Demographic
M2191,2.7931766497718225,2.7062590293085482,0.08691762046327423,short,Macro
M21932,1.0521057035871728,1.0570512304980744,-0.004945526910901554,long_history,Demographic
M21943,2.6554424059321695,2.1459822269408337,0.5094601789913358,long_history,Demographic
M22005,1.0348238758832717,0.9348428463044912,0.09998102957878052,long_history,Demographic
M22323,2.9944426614189297,2.7299724048846197,0.26447025653431,short,Demographic
M22338,1.3067901627616854,1.352468001821325,-0.045677839059639735,long_history,Demographic
M22352,1.9881532571599674,1.7095144547570638,0.2786388024029036,long_history,Demographic
M22437,2.616759725484012,2.2115790311646464,0.40518069431936565,long_history,Demographic
M22626,3.032650167826855,2.576017399109566,0.45663276871728886,long_history,Demographic
M22835,1.3978331794387038,1.313558308830849,0.08427487060785488,long_history,Demographic
M22856,0.9811386370453569,1.0790517689600856,-0.09791313191472872,long_history,Demographic
M23276,2.0949834851172,1.993461375869978,0.10152210924722183,long_history,Demographic
M23422,0.7073546316493827,0.6911229230996223,0.016231708549760415,long_history,Demographic
M23428,1.2690088588808612,1.047145376888663,0.2218634819921983,long_history,Demographic
M23568,2.789925483709969,2.616318036021735,0.1736074476882341,short,Demographic
M23617,1.493796904210703,1.491282191332926,0.002514712877777159,long_history,Demographic
M23628,4.806000215399073,5.249811150863042,-0.44381093546396944,short,Demographic
M23730,1.9628332208775183,1.8793254812269806,0.0835077396505377,short,Demographic
M24084,8.142153536815783,8.021795333391138,0.12035820342464554,short,Demographic
M24097,2.2444990581512076,2.190011189806666,0.05448786834454156,short,Demographic
M24098,1.9266914282768226,1.9209257476204291,0.00576568065639349,short,Demographic
M24232,1.7465228519955114,1.7546164562005104,-0.00809360420499905,medium,Demographic
M24374,7.4498925587548825,6.482956472862378,0.9669360858925042,long_history,Demographic
M24383,2.7562854465489695,2.7442371328127173,0.012048313736252148,long_history,Demographic
M24432,2.495057368861239,2.7740399720385223,-0.2789826031772833,short,Demographic
M24678,2.8539000579503857,2.2740712456022747,0.579828812348111,long_history,Demographic
M24960,2.2924394181976337,1.8715685145088008,0.42087090368883295,medium,Demographic
M24962,1.1183540292437777,1.0573008386802634,0.061053190563514326,medium,Demographic
M24981,1.7525988303945255,2.099935952945227,-0.3473371225507016,medium,Demographic
M25020,1.5436381599984617,1.5522862031622928,-0.008648043163831165,medium,Demographic
M25088,1.8138299661562471,1.8252913537570108,-0.01146138760076365,medium,Demographic
M25105,0.563209849810316,0.5310076278108316,0.032202221999484415,medium,Demographic
M2512,3.040257780966912,2.825270347562138,0.2149874334047741,long_history,Macro
M25175,0.8018019093467308,0.7258221223991617,0.07597978694756913,medium,Demographic
M25190,4.531095432058446,5.084263825339512,-0.5531683932810667,medium,Demographic
M25666,20.469444311899533,18.075287017816827,2.3941572940827065,medium,Demographic
M25777,1.630950369745004,2.1761569208726845,-0.5452065511276805,medium,Demographic
M25796,4.975309755703908,3.3828420771183523,1.5924676785855554,medium,Demographic
M25822,1.5897742805674662,1.5904027757569266,-0.0006284951894603985,medium,Demographic
M2599,4.942985030441779,4.912785472837116,0.03019955760466342,medium,Macro
M26060,2.022221563869433,1.8351000124470964,0.18712155142233655,short,Demographic
M26088,7.123903314468799,6.930694666893343,0.19320864757545575,short,Demographic
M26224,0.8122171549697642,1.0248621012859345,-0.21264494631617026,medium,Demographic
M26246,7.237555457505902,7.4682408228571955,-0.23068536535129347,long_history,Demographic
M26325,37.34968675481446,36.34320247900803,1.0064842758064358,cold_start,Demographic
M26337,2.7099373138868703,2.501075720472596,0.20886159341427435,medium,Demographic
M26366,7.3624522912228265,6.610721969734078,0.7517303214887487,medium,Demographic
M26421,1.853033500648328,1.773197637383917,0.07983586326441117,medium,Demographic
M26651,1.8621734653718636,1.760231482389847,0.10194198298201651,medium,Demographic
M26652,3.1322212656735653,4.088003656321935,-0.9557823906483698,medium,Demographic
M26676,6.140072920454699,8.916616285443116,-2.7765433649884166,medium,Demographic
M26715,3.0526291200598807,2.7557163103393423,0.29691280972053846,short,Demographic
M26718,6.162419939983299,5.8463734265831135,0.3160465134001855,short,Demographic
M27141,9.713713234418211,10.937053234241139,-1.2233399998229277,short,Industry
M27387,20.901926151970564,18.02033961586368,2.8815865361068838,long_history,Industry
M27427,2.138881003344185,1.717898194426351,0.420982808917834,medium,Industry
M2743,5.985727941069013,11.13124222125296,-5.145514280183947,cold_start,Macro
M27462,3.4697568792838416,3.3137512985761646,0.156005580707677,cold_start,Industry
M2757,4.753691002641182,5.517839961593403,-0.7641489589522203,cold_start,Macro
M27570,1.621701257040885,2.5069783270009616,-0.8852770699600765,short,Industry
M2760,3.252194927781799,4.353062980428533,-1.1008680526467334,cold_start,Macro
M27710,3.8876131187492677,3.4086376450417983,0.4789754737074694,cold_start,Industry
M27829,9.948572507143876,11.170276696163892,-1.2217041890200164,medium,Industry
M27843,6.675230157825557,7.318316476943385,-0.6430863191178275,medium,Industry
M27897,6.435860972150581,6.108599061904444,0.32726191024613716,short,Industry
M28099,1.0443619005170208,1.0247698122107887,0.019592088306232158,medium,Industry
M28181,0.624691422660836,1.0624120156017378,-0.4377205929409018,short,Industry
M2839,3.4566140521953295,3.6698587275513437,-0.2132446753560142,short,Macro
M28664,5.958911883476313,5.365687305989816,0.593224577486497,medium,Industry
M28787,2.838973671155363,2.882618701581559,-0.04364503042619594,medium,Industry
M28858,3.488670965585647,3.0779664394106114,0.4107045261750355,medium,Industry
M28963,2.867543258749681,3.324495478797826,-0.45695222004814484,medium,Industry
M29167,0.6373787601999829,0.6379745068433016,-0.0005957466433187397,long_history,Industry
M29285,2.3077716880281955,2.256649105678534,0.051122582349661716,long_history,Industry
M29353,2.1583497516476524,2.2289310920573446,-0.07058134040969222,cold_start,Industry
M29421,2.344471320656237,1.9771174813133567,0.36735383934288035,long_history,Industry
M29519,2.5200441429697777,2.30648599062243,0.21355815234734754,long_history,Industry
M29571,2.2528314294806355,1.8583785271074398,0.39445290237319575,long_history,Industry
M29643,1.5954973410081927,1.2202158276697679,0.37528151333842485,long_history,Industry
M29666,1.0094553707182952,1.2616130971250294,-0.2521577264067343,long_history,Industry
M29724,0.8346014690531858,0.6372574378122638,0.19734403124092192,long_history,Industry
M29790,4.066210468447543,3.427518000921062,0.6386924675264809,long_history,Industry
M29812,2.6231046044169664,2.8001961608610584,-0.17709155644409202,long_history,Industry
M30102,2.0521148481948845,1.6700948077866713,0.38202004040821325,long_history,Industry
M30154,2.8977632504190627,2.3913491834274567,0.506414066991606,long_history,Industry
M30305,7.2008105047028135,6.441417417384096,0.7593930873187178,long_history,Industry
M30325,2.802301715094092,3.2201688722973008,-0.4178671572032089,medium,Industry
M3037,2.529417587817832,2.6084921192442168,-0.07907453142638454,short,Macro
M30873,4.488314696969185,5.097629602653518,-0.6093149056843323,short,Industry
M30944,9.64648185071256,9.59280142797421,0.053680422738349165,long_history,Industry
M3097,7.521310816110885,7.22977781833831,0.2915329977725749,long_history,Macro
M31062,27.717891880854072,30.052074217203838,-2.334182336349766,medium,Industry
M31075,7.4429905228400965,7.427042106651199,0.01594841618889742,long_history,Industry
M31662,2.676791321947901,3.0257960144214984,-0.34900469247359744,medium,Industry
M31715,5.601284026701906,5.1785924467746245,0.4226915799272817,short,Industry
M31724,21.180112609881043,20.418498141191897,0.761614468689146,medium,Industry
M3177,5.009595562127984,4.731433181190367,0.27816238093761747,medium,Macro
M31895,2.4515170515084885,2.449804351836022,0.0017126996724665666,long_history,Industry
M31939,1.5110028834000244,1.319568846300536,0.19143403709948847,medium,Industry
M32031,17.87122154659792,17.401426537236745,0.46979500936117446,short,Industry
M32070,35.08960045047613,30.66831920589374,4.421281244582385,long_history,Industry
M32089,26.506763046352383,27.450047286229807,-0.9432842398774248,cold_start,Industry
M32122,22.283313339975408,20.93289963224326,1.350413707732148,cold_start,Industry
M32141,22.120854172250894,20.893589419537257,1.227264752713637,cold_start,Industry
M322,7.23921628239606,6.383303141142729,0.855913141253331,medium,Macro
M3223,8.00998029708997,7.673886396998551,0.33609390009141826,medium,Macro
M32331,13.372615490813194,12.933672938166078,0.43894255264711646,cold_start,Industry
M32390,28.686116471878243,27.825334314677864,0.8607821572003793,cold_start,Industry
M32475,13.004739946416485,13.267548805937823,-0.26280885952133737,cold_start,Industry
M32495,17.200236974987256,17.14990496621436,0.050332008772894454,cold_start,Industry
M3252,9.858882218667112,9.158843766238528,0.7000384524285845,medium,Macro
M32676,4.004011540451808,4.589686338279433,-0.5856747978276253,short,Industry
